input1,input2,output
8209,9204,10736
9204,10736,11765
10736,11765,12011
11765,12011,13040
12011,13040,8578
13040,8578,20254
8578,20254,20064
20254,20064,18274
20064,18274,13610
18274,13610,14673
13610,14673,15836
14673,15836,17558
15836,17558,18766
17558,18766,19180
18766,19180,10468
19180,10468,13868
10468,13868,13085
13868,13085,10848
13085,10848,11866
10848,11866,12123
11866,12123,5492
12123,5492,5804
5492,5804,3344
5804,3344,8253
3344,8253,7694
8253,7694,15758
7694,15758,3981
15758,3981,6140
3981,6140,1073
6140,1073,11676
1073,11676,26830
11676,26830,19460
26830,19460,30767
19460,30767,45809
30767,45809,24761
45809,24761,25779
24761,25779,23676
25779,23676,12671
23676,12671,14684
12671,14684,16060
14684,16060,12179
16060,12179,16172
12179,16172,14852
16172,14852,15724
14852,15724,15098
15724,15098,13789
15098,13789,9789
13789,9789,9126
9789,9126,8578
9126,8578,8991
8578,8991,8790
8991,8790,8991
8790,8991,9707
8991,9707,10736
9707,10736,10826
10736,10826,10557
10826,10557,11586
10557,11586,11899
11586,11899,12391
11899,12391,11698
12391,11698,9595
11698,9595,7694
9595,7694,7582
7694,7582,9573
7582,9573,10356
9573,10356,8947
10356,8947,10535
8947,10535,10725
10535,10725,7045
10725,7045,24123
7045,24123,28686
24123,28686,24850
28686,24850,23106
24850,23106,18878
23106,18878,11418
18878,11418,9987
11418,9987,7761
9987,7761,8264
7761,8264,8343
8264,8343,9629
8343,9629,9875
9629,9875,12716
9875,12716,15288
12716,15288,13096
15288,13096,14338
13096,14338,14338
14338,14338,18666
14338,18666,20086
18666,20086,19728
20086,19728,15993
19728,15993,20421
15993,20421,53828
20421,53828,37209
53828,37209,43651
37209,43651,22345
43651,22345,19572
22345,19572,8857
19572,8857,24146
8857,24146,23747
24146,23747,11385
23747,11385,17022
11385,17022,18319
17022,18319,17547
18319,17547,15008
17547,15008,9797
15008,9797,10266
9797,10266,11228
10266,11228,13018
11228,13018,14226
13018,14226,11128
14226,11128,8287
11128,8287,7493
8287,7493,7750
7493,7750,8119
7750,8119,8656
8119,8656,9730
8656,9730,11564
9730,11564,13286
11564,13286,11374
13286,11374,14170
11374,14170,15534
14170,15534,15534
15534,15534,2460
15534,2460,11
2460,11,0
11,0,11
0,11,1
11,1,21518
1,21518,22971
21518,22971,13935
22971,13935,17123
13935,17123,12078
